Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Year,Detected by Radial Velocity Variations,Detected by Pulsar Timing Variations,Detected by Pulsation Timing Variations,Detected by Transits,Detected by Astrometric Variations,Detected by Orbital Brightness Modulations,Detected by Microlensing,Detected by Eclipse Timing Variations,Detected by Imaging,Detected by Disk Kinematics,Controversial Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
1,1,0,0,2005,0,0,0,0,0,0,0,0,1,0,0,-26.93081,266.94347,-81.21165,106.85953,1,0,0,0,0
1,1,0,0,2023,0,0,0,0,1,0,0,0,1,0,0,-24.04116,214.37435,-35.05939,80.14319,1,0,2,0,0
1,3,0,0,2020,1,0,0,1,0,0,0,0,0,0,0,-36.80401,12.65304,-12.82465,305.30682,1,0,1,0,0
1,3,0,0,2021,1,0,0,1,0,0,0,0,0,0,0,-36.80401,12.65304,-12.82465,305.30682,1,0,1,0,0
1,3,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,-36.80401,12.65304,-12.82465,305.30682,1,0,1,0,0
1,1,0,0,2017,1,0,0,0,0,0,0,0,0,0,0,61.57342,269.32522,1.56429,176.66835,0,0,0,0,0
1,1,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,-22.63172,64.41837,29.21653,325.9764,1,1,0,0,0
1,1,0,0,2016,1,0,0,0,0,0,0,0,0,0,0,70.27244,249.00212,11.99953,170.89104,0,0,0,0,0
1,1,0,0,2013,1,0,0,0,0,0,0,0,0,0,0,44.78011,28.10432,35.31759,233.93894,1,0,0,0,0
1,2,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,53.95226,216.04472,8.58559,148.87814,0,1,0,0,0
1,2,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,53.95226,216.04472,8.58559,148.87814,0,1,0,0,0
1,1,0,0,2012,1,0,0,0,0,0,0,0,0,0,0,-40.23345,138.9742,9.58745,31.62164,0,0,0,0,0
1,1,0,0,2016,1,0,0,1,0,0,0,0,0,0,0,-28.05348,166.7966,1.31208,56.29259,0,0,0,0,0
1,1,0,0,2021,1,0,0,0,0,0,0,0,0,0,0,-14.70463,137.23205,30.57409,47.31265,0,0,0,0,0
1,1,0,0,2011,1,0,0,0,0,0,0,0,0,0,0,-9.3787,140.80848,32.03021,54.57335,0,0,0,0,0
1,1,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,-9.96534,141.10904,31.4085,54.32283,1,0,0,0,0
1,1,0,0,2015,1,0,0,0,0,0,0,0,0,0,0,-7.80173,143.61792,31.07852,58.15184,0,0,0,0,0
1,1,0,0,2021,1,0,0,0,0,0,0,0,0,0,0,-5.64657,129.03163,42.69678,46.94818,0,0,0,0,0
1,1,0,0,2021,0,0,0,0,0,0,0,0,1,0,0,57.0861,124.74559,56.32829,152.2766,0,0,0,0,0
1,1,0,0,2021,1,0,0,0,1,0,0,0,0,0,0,29.1513,93.08126,87.05023,282.13451,0,0,0,0,0
1,1,0,0,2021,1,0,0,0,0,0,0,0,0,0,0,-53.35536,77.53408,5.23294,348.85773,1,0,0,0,0
1,2,0,0,2013,1,0,0,0,0,0,0,0,0,0,1,-15.71602,211.65797,-29.4235,87.99923,1,0,0,0,0
1,2,0,0,2013,1,0,0,0,0,0,0,0,0,0,0,-15.71602,211.65797,-29.4235,87.99923,1,0,0,0,0
1,2,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,34.75486,248.49513,-20.28382,155.83616,1,1,0,0,0
1,2,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,34.75486,248.49513,-20.28382,155.83616,1,1,0,0,0
1,1,0,0,2000,1,0,0,0,0,0,0,0,0,0,0,43.23793,263.28467,-15.96792,170.13441,0,2,0,0,0
1,2,0,0,2014,1,0,0,0,0,0,0,0,0,0,0,-1.35959,20.54287,11.55951,278.36653,1,0,0,0,0
