Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
24 Sex c,24 Sex,1,2,0,0,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,883.0,0.0,13.9,0.0,273.32,0.0,0.559,0.0,5098.0,0.0,4.9,0.0,1.54,0.08,-0.08,0.0,1.164,0.0,3.5,0.0,44.7158,245.08569,-10.19818,157.99391,74.6277468,0.1879011,-0.1879011,65.2199,0.166731,-0.166731,-36.2721,0.244089,-0.244089,72.0691,0.6854,-0.6728,7.399,0.019,-0.019,6.4535,0.023,-0.023,5.292,0.338,-0.338,4.486,0.076,-0.076,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,5.6416,0.006,-0.006,1,2,1,0,0
2M0437 b,2MASS J04372171+2651014,1,1,0,0,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),0,,,13.0,0.0,1271.31363,0.0,3.18,0.0,3100.0,0.0,0.84,0.0,0.17,0.01,-0.02,0.0,-1.164,0.0,4.5,0.0,-13.44593,172.81975,4.72193,71.58413,28.3362604,0.1183872,-0.1183872,8.63445,0.182398,-0.182398,-26.9887,0.109749,-0.109749,128.484,1.196,-1.174,17.237,0.102,-0.102,16.186,1.133,-1.133,11.298,0.02,-0.02,10.656,0.021,-0.021,10.386,0.018,-0.018,14.3374,0.000772,-0.000772,13.0123,0.007392,-0.007392,0,0,0,0,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,1,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,,12.3,0.0,4131.79,0.0,12.2,0.0,,,,,0.19,0.02,-0.02,0.0,,,,,-61.77586,299.26888,-54.69414,341.46812,,,,,,,,,,47.2,3.1,-3.1,16.993,0.121,-0.121,15.788,0.275,-0.275,10.162,0.023,-0.023,9.58,0.025,-0.025,9.237001,0.022,-0.022,,,,12.089,0.017,-0.017,0,0,0,0,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,0,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0,,,11.209,0.0,7786.5,0.0,30.4,0.0,3530.0,0.0,0.37,0.0,0.4,0.05,-0.05,0.0,-1.72,0.0,4.86,0.0,-82.5199,195.45385,-30.71197,8.62267,172.4426671,0.1502778,-0.1502778,120.455,0.176921,-0.176921,-123.398,0.119485,-0.119485,33.8281,0.0864,-0.086,15.706,0.071,-0.071,14.244,0.074,-0.074,10.084,0.028,-0.028,9.47,0.023,-0.023,9.198,0.026,-0.026,12.9025,0.001151,-0.001151,11.6243,0.0074884,-0.0074884,0,0,0,0,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,0,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,0,,,16.141,0.0,4417.837,0.0,5.77,0.0,3064.0,0.0,0.28,0.0,0.11,0.01,-0.01,0.0,-2.23,0.0,4.59,0.0,-67.98402,252.45343,-49.30514,13.50901,109.6,0.1,,103.6,0.1,,-35.9,0.1,,40.0896412,0.1940496,-0.1940496,18.549,0.162,-0.162,,,,11.381,0.026,-0.026,10.811,0.027,-0.027,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,13.4304,0.0076974,-0.0076974,0,0,0,0,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,0,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,0,,,12.6,0.0,2383.6,0.0,6.55,0.0,2936.0,0.0,0.23,0.0,0.02,,,0.0,-2.444,0.0,5.01,0.0,-15.11435,176.51065,0.80236,72.05025,23.2,0.6,,9.0,0.9,,-21.4,0.5,,120.423987,5.4783417,-5.4783417,,,,,,,14.419,0.026,-0.026,13.726,0.029,-0.029,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,17.1815,0.0304219,-0.0304219,0,0,0,0,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,0,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0,,,12.9,0.0,1589.15,0.0,4.07,0.0,2825.0,0.0,0.22,0.0,0.02,,,0.0,-2.561,0.0,5.03,0.0,22.54309,293.79011,-35.03506,199.74342,68.3315134,0.2231782,-0.2231782,-64.0825,0.233085,-0.233085,-23.7198,0.129679,-0.129679,64.308,0.6569,-0.644,,,,20.15,0.19,,12.995,0.026,-0.026,12.388,0.027,-0.027,11.945,0.026,-0.026,17.4076,0.002154,-0.002154,15.662,0.0112519,-0.0112519,0,0,0,0,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,1,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0,406.0,0.0,13.4,0.0,603.877,0.0,1.38,0.0,29564.0,0.0,0.2,0.0,0.48,,,0.0,1.45,0.0,5.51,0.0,11.67426,79.01876,65.72534,314.70935,6.9650162,0.0771526,-0.0771526,5.19637,0.077075,-0.077075,-4.6378,0.07725,-0.07725,396.332,6.3885,-6.3885,12.112,0.307,-0.307,12.651,0.215,-0.215,12.757,0.022,-0.022,12.889,0.02,-0.02,12.955,0.029,-0.029,12.1376,0.003687,-0.003687,12.4561,0.0159,-0.0159,0,0,0,0,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,0,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0,,,12.3,0.0,3972.875,0.0,11.7,0.0,4045.0,0.0,0.64,0.0,0.6,0.05,-0.05,0.0,-1.021,0.0,4.62,0.0,-9.10923,100.74846,50.8533,6.85902,69.8897974,0.0595904,-0.0595904,62.8913,0.0598322,-0.0598322,-30.4839,0.05855,-0.05855,69.5737,0.1592,-0.1585,13.731,0.177,-0.177,12.368,0.057,-0.057,9.975,0.022,-0.022,9.338,0.021,-0.021,9.148,0.018,-0.018,11.9484,0.000737,-0.000737,11.1286,0.0061,-0.0061,0,0,0,0,0
30 Ari B b,30 Ari B,4,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,335.10001,0.0,12.3,0.0,4392.4106,0.0,13.0,0.0,6331.0,0.0,1.41,0.0,1.93,0.27,-0.27,0.0,0.381,0.0,4.43,0.0,-32.3093,151.47681,8.85457,44.56452,141.8135318,0.0831079,-0.0831079,141.411,0.0830903,-0.0830903,-10.6774,0.0861366,-0.0861366,44.657,0.1039,-0.1034,7.458,0.025,-0.025,7.09209,0.023,-0.023,6.08,0.02,-0.02,5.908,0.029,-0.029,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,6.604,0.006,-0.006,1,1,0,0,0
