Number of Stars,Number of Planets,Number of Moons,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements,Circumbinary Flag,Controversial Flag,Discovery Year,Detected by Transits
3.0940760063501918,-0.6668937098287596,0.0,2.4245590279448286,1.2343058604074666,-0.14590067313051372,-0.6246890598787246,0.6134054950471767,1.731518618781928,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2007,0
-0.25666826032822543,-0.6668937098287596,0.0,1.1867199769558567,-0.28354458561086204,1.148661206898843,-0.9929058479025792,0.6134054950471767,0.7296257993554702,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2009,0
-0.25666826032822543,-0.6668937098287596,0.0,-0.8775229034452366,-0.3060684681035247,0.30894697465020476,-2.327877931285248,0.6134054950471767,0.7296257993554702,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2008,0
-0.25666826032822543,0.21698765682237228,0.0,1.3828563233976678,-0.6698027381423446,0.8724991748247737,-0.15293403332564018,0.6134054950471767,3.735304257634843,0.5917494436813721,-0.012465959866779428,-0.04436356152310447,0,0,2002,0
6.444820273028609,-0.6668937098287596,0.0,0.2612410473328259,-0.5314441174786101,1.0231430283486207,0.8554889190083601,0.6134054950471767,3.735304257634843,2.298448713021865,-0.012465959866779428,-0.04436356152310447,0,0,1996,0
-0.25666826032822543,-0.6668937098287596,0.0,0.731247240615121,-1.3325943321354885,-0.3544531489573116,0.057648494822962984,-0.33469195118808487,-0.2722670200709873,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2020,0
3.0940760063501918,-0.6668937098287596,0.0,-0.9082190511276325,-0.7721259399507424,0.047351203991918195,0.8490584136765553,0.6134054950471767,0.7296257993554702,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2008,0
-0.25666826032822543,-0.6668937098287596,0.0,0.554637764887352,2.101082881666827,-0.5666228989372732,0.06445451613764613,-0.33469195118808487,-0.2722670200709873,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2008,0
-0.25666826032822543,-0.6668937098287596,0.0,1.8382914952782283,-0.46475904554887143,0.78125799534139,-0.5371751012438765,0.6134054950471767,-0.2722670200709873,-0.26160019098887455,-0.012465959866779428,-0.04436356152310447,0,0,2018,0
-0.25666826032822543,0.21698765682237228,0.0,1.3087689026379399,1.048239650451667,-0.798210291797443,-0.824634747824809,0.6134054950471767,1.731518618781928,0.5917494436813721,-0.012465959866779428,-0.04436356152310447,0,0,2010,0
-0.25666826032822543,0.21698765682237228,0.0,1.3087689026379399,1.048239650451667,-0.798210291797443,-0.824634747824809,0.6134054950471767,1.731518618781928,0.5917494436813721,-0.012465959866779428,-0.04436356152310447,0,0,2010,0
